22479354	STAT1	GLS
23598529	REST	STAT1
18776923	BRCA1	HSPA5
19303924	RB1	FGFR1
20068145	RB1	BRCA1
22205702	STAT3	CDH1
23000143	YY1	HCFC1
16488890	USF1	P4HA1
16488890	USF2	P4HA1
21700680	BRCA1	DDIT3
22258560	USF1	TBX21
22419072	HDAC2	CD1D
9611253	ARNT	CTSD
22010578	ARID3A	PML
15908194	CEBPZ	SOX9
11013233	MAFK	NQO1
22227292	HSF1	POLK
11854297	JUNB	SMAD4
18625744	CTCF	CCND1
20160719	BRCA1	SIRT1
15184388	USF2	THBS1
15184388	USF2	TGFB1
22213192	ZNF24	CCND1
10978529	NFIC	POLD2
16595680	KLF5	BIRC5
8631128	ARNT	CYP1A1
20228272	STAT3	BCL6
15195143	E2F4	MCM10
15195143	E2F4	TOPBP1
21983014	EGR1	PTGES
19786090	EGR1	STMN1
11706010	CTCF	APP
25113559	CTCF	CELSR3
19609274	MYB	MYC
17204573	STAT3	FOS
17204573	STAT3	JUNB
19043455	CEBPB	BCL2L1
17932312	EGR1	TNFSF10
15688019	RUNX3	RUNX1
14642566	NFIC	SMUG1
19290488	RUNX3	CASP3
23388456	HSF1	SESN3
20304822	ATF2	IFNG
7504695	NFIC	COL1A1
10082553	UBTF	TAF1B
10211993	ETS1	PLAU
15178343	ARNT	EGLN2
15735663	ATF7	TAF12
9756895	YY1	CTCF
16628196	STAT1	CCR1
7655015	MYB	MYB
19376845	ARNT	CYP1B1
19376845	ARNT	CYP1A1
10453008	CEBPB	IL5
7876096	USF1	CEACAM5
7876096	USF2	CEACAM5
